Model Number,Description,MSRP,Base Price +10%
1F02201KK,2.5MH FourStroke,1385,1271
1F03201KK,3.5MH FourStroke,1660,1524
1F03211KK,3.5MLH FourStroke,1700,1557
1F04201KK,4MH FourStroke,1980,1815
1F04211KK,4MLH FourStroke,2020,1854
1FX5201KK,5MH FourStroke,2200,2019
1F05221KK,5MXLH FourStroke,2280,2090
1F05216KK,5MLHA Sail Power FourStroke,2245,2057
1FX6201KK,6MH FourStroke,2275,2085
1FX6211KK,6MLH FourStroke,2310,2118
1A08201LK,8MH FourStroke,3310,3036
1A08211LK,8MLH FourStroke,3355,3075
1A08301LK,8EH FourStroke,3650,3344
1A08311LK,8ELH FourStroke,3690,3383
1A10204LV,9.9MRC FourStroke,3870,3548
1A10201LK,9.9MH FourStroke,3875,3553
1A10211LK,9.9MLH FourStroke,3925,3597
1A10301LK,9.9EH FourStroke,4230,3878
1A10312LK,9.9EL FourStroke,4325,3966
1A10311LK,9.9ELH FourStroke,4435,4065
1A10402LK,9.9EPT FourStroke,4900,4494
1A10251LK,9.9MLH Command Thrust FourStroke,4250,3894
1A10261LK,9.9MXLH Command Thrust FourStroke,4375,4010
1A10351LK,9.9ELH Command Thrust FourStroke,4790,4389
1A10361LK,9.9EXLH Command Thrust FourStroke,4870,4466
1A10452LK,9.9ELPT Command Thrust ProKicker EFI FourStroke,5345,4901
1A10462LK,9.9EXLPT Command Thrust ProKicker EFI FourStroke,5435,4983
1A10451LK,9.9ELHPT Command Thrust ProKicker EFI FourStroke,5455,5000
1A10461LK,9.9EXLHPT Command Thrust ProKicker EFI FourStroke,5555,5093
1A15204LK,15MRC FourStroke,4180,3834
1A15201LK,15MH FourStroke,4225,3872
1A15211LK,15MLH FourStroke,4280,3922
1A15302LK,15E FourStroke,4570,4191
1A15312LK,15EL FourStroke,4600,4219
1A15301LK,15EH FourStroke,4600,4219
1A15311LK,15ELH FourStroke,4660,4274
1A15402LK,15EPT FourStroke,5190,4758
1A15401LK,15EHPT FourStroke,5220,4785
1A15412LK,15ELPT FourStroke,5110,4686
1A15452BK,15ELPT ProKicker FourStroke,5855,5368
1A15462BK,15EXLPT ProKicker FourStroke,5950,5456
1A15451BK,15ELHPT ProKicker FourStroke,5960,5462
1A15461BK,15EXLHPT ProKicker FourStroke,6080,5572
1A20204LK,20MRC FourStroke,4565,4186
1A20201LK,20MH FourStroke,4615,4230
1A20211LK,20MLH FourStroke,4655,4268
1A20301LK,20EH FourStroke,5110,4686
1A20302LK,20E FourStroke,5100,4675
1A20311LK,20ELH FourStroke,5185,4752
1A20312LK,20EL FourStroke,5090,4664
1A20402LK,20EPT FourStroke,5740,5264
1A20411LK,20ELHPT FourStroke,5880,5390
1A20412LK,20ELPT FourStroke,5740,5264
1A25203BK,25MH FourStroke,5320,4879
1A25213BK,25MLH FourStroke,5420,4967
1A25301BK,25EH FourStroke,5730,5253
1A25311BK,25ELH FourStroke,5935,5440
1A25312BK,25EL FourStroke,5675,5203
1A25403BK,25EPT FourStroke,6450,5913
1A25411BK,25ELHPT FourStroke,6665,6111
1A25413BK,25ELPT FourStroke,6540,5995
1A25452BK,25ELPT ProKicker FourStroke,6860,6287
1A25462BK,25EXLPT ProKicker FourStroke,7025,6441
1A3G203BK,30MHGA FourStroke,7405,6787
1A3G213BK,30MLHGA FourStroke,7465,6842
1A3G313BK,30ELGA FourStroke,8030,7359
1A3G311BK,30ELHGA FourStroke,8160,7480
1A30403BK,30EPT FourStroke,8210,7524
1A30413BK,30ELPT FourStroke,8515,7805
1A30411BK,30ELHPT FourStroke,8645,7926
1F40403GZ,40EPT FourStroke,10750,9460
1F40413GZ,40ELPT FourStroke,10830,9532
1F4041TJZ,40ELHPT FourStroke Tiller,11425,10054
1F41453GZ,40ELPT Command Thrust (Four-Cylinder) FourStroke,11250,9900
1F51413GZ,50ELPT FourStroke,12165,10703
1F5141TJZ,50ELHPT FourStroke Tiller,12905,11358
1F51453GZ,50ELPT Command Thrust FourStroke,12645,11127
1F5145TJZ,50ELHPT Command Thrust FourStroke Tiller,13180,11600
1F60413GZ,60ELPT FourStroke,13820,12161
1F6041TJZ,60ELHPT FourStroke Tiller,14575,12826
1F60453GZ,60ELPT Command Thrust FourStroke,14170,12469
1F60463GZ,60EXLPT Command Thrust FourStroke,14565,12815
1F6045TJZ,60ELHPT Command Thrust FourStroke Tiller,14990,13189
1F754132D,75ELPT FourStroke,16125,14190
1F904132D,90ELPT FourStroke,16830,14812
1F904232D,90EXLPT FourStroke,17265,15191
1F904532D,90ELPT Command Thrust FourStroke,17355,15274
1F904632D,90EXLPT Command Thrust FourStroke,17415,15323
1115F132D,115ELPT FourStroke,19220,16913
1115F232D,115EXLPT FourStroke,19625,17270
1115F532D,115ELPT Command Thrust FourStroke,19730,17364
1115F632D,115EXLPT Command Thrust FourStroke,20130,17716
1115F642D,115ECXLPT Command Thrust FourStroke,20130,17716
1150F13ED,150L FourStroke,25025,22022
1150F23ED,150XL FourStroke,25165,22143
1150F24ED,150CXL FourStroke,26045,22919
11500101A,150L FourStroke Cold Fusion White,26325,23166
11500102A,150XL FourStroke Cold Fusion White,26325,23166
11500103A,150CXL FourStroke Cold Fusion White,26455,23282
11500104A,150L FourStroke Warm Fusion White,26455,23282
11500105A,150XL FourStroke Warm Fusion White,27340,24057
11500106A,150CXL FourStroke Warm Fusion White,27340,24057
11750005A,175L FourStroke DTS,30990,27269
11750006A,175XL FourStroke DTS,31140,27401
11750007A,175CXL FourStroke DTS,31945,28111
12000001A,200L FourStroke,30580,26912
12000009A,200XL FourStroke,30730,27044
12000029A,200CXL FourStroke,31515,27731
12000002A,200L FourStroke Cold Fusion White,33005,29046
12000010A,200XL FourStroke Cold Fusion White,33155,29178
12000030A,200CXL FourStroke Cold Fusion White,33940,29865
12000003A,200L FourStroke Warm Fusion White,33005,29046
12000011A,200XL FourStroke Warm Fusion White,33155,29178
12000031A,200CXL FourStroke Warm Fusion White,33940,29865
12000004A,200L FourStroke Pearl Fusion White,33005,29046
12000012A,200XL FourStroke Pearl Fusion White,33155,29178
12000032A,200CXL FourStroke Pearl Fusion White,33940,29865
12000005A,200L FourStroke DTS,32680,28760
12000013A,200XL FourStroke DTS,32830,28892
12000017A,200CXL FourStroke DTS,33640,29601
12000006A,200L FourStroke DTS Cold Fusion White,35200,30976
12000014A,200XL FourStroke DTS Cold Fusion White,35330,31092
12000018A,200CXL FourStroke DTS Cold Fusion White,36150,31812
12000007A,200L FourStroke DTS Warm Fusion White,35200,30976
12000015A,200XL FourStroke DTS Warm Fusion White,35330,31092
12000019A,200CXL FourStroke DTS Warm Fusion White,36150,31812
12000008A,200L FourStroke DTS Pearl Fusion White,35200,30976
12000016A,200XL FourStroke DTS Pearl Fusion White,35330,31092
12000020A,200CXL FourStroke DTS Pearl Fusion White,36150,31812
12250001A,225L FourStroke,36715,32307
12250009A,225XL FourStroke,36845,32423
12250047A,225CXL FourStroke,37645,33127
12250021A,225XXL FourStroke,37605,33094
12250002A,225L FourStroke Cold Fusion White,39155,34458
12250010A,225XL FourStroke Cold Fusion White,39290,34573
12250048A,225CXL FourStroke Cold Fusion White,40095,35283
12250022A,225XXL FourStroke Cold Fusion White,40050,35244
12250003A,225L FourStroke Warm Fusion White,39155,34458
12250011A,225XL FourStroke Warm Fusion White,39290,34573
12250049A,225CXL FourStroke Warm Fusion White,40095,35283
12250023A,225XXL FourStroke Warm Fusion White,40050,35244
12250004A,225L FourStroke Pearl Fusion White,39155,34458
12250012A,225XL FourStroke Pearl Fusion White,39290,34573
12250050A,225CXL FourStroke Pearl Fusion White,40095,35283
12250024A,225XXL FourStroke Pearl Fusion White,40050,35244
12250005A,225L FourStroke DTS,38855,34194
12250013A,225XL FourStroke DTS,38995,34315
12250017A,225CXL FourStroke DTS,39820,35041
12250025A,225XXL FourStroke DTS,39775,35002
12250029A,225CXXL FourStroke DTS,40600,35728
12250006A,225L FourStroke DTS Cold Fusion White,41380,36416
12250014A,225XL FourStroke DTS Cold Fusion White,41525,36542
12250018A,225CXL FourStroke DTS Cold Fusion White,42340,37257
12250026A,225XXL FourStroke DTS Cold Fusion White,42295,37219
12250030A,225CXXL FourStroke DTS Cold Fusion White,43120,37945
12250007A,225L FourStroke DTS Warm Fusion White,41380,36416
12250015A,225XL FourStroke DTS Warm Fusion White,41525,36542
12250019A,225CXL FourStroke DTS Warm Fusion White,42340,37257
12250027A,225XXL FourStroke DTS Warm Fusion White,42295,37219
12250031A,225CXXL FourStroke DTS Warm Fusion White,43120,37945
12250008A,225L FourStroke DTS Pearl Fusion White,41380,36416
12250016A,225XL FourStroke DTS Pearl Fusion White,41525,36542
12250020A,225CXL FourStroke DTS Pearl Fusion White,42340,37257
12250028A,225XXL FourStroke DTS Pearl Fusion White,42295,37219
12250032A,225CXXL FourStroke DTS Pearl Fusion White,43120,37945
12500001A,250L FourStroke,38765,34111
12500009A,250XL FourStroke,38895,34227
12500083A,250CXL FourStroke,39665,34903
12500021A,250XXL FourStroke,39820,35041
12500087A,250CXXL FourStroke,40595,35723
12500002A,250L FourStroke Cold Fusion White,41125,36190
12500010A,250XL FourStroke Cold Fusion White,41265,36311
12500084A,250CXL FourStroke Cold Fusion White,42030,36988
12500022A,250XXL FourStroke Cold Fusion White,42195,37131
12500088A,250CXXL FourStroke Cold Fusion White,42965,37807
12500003A,250L FourStroke Warm Fusion White,41125,36190
12500011A,250XL FourStroke Warm Fusion White,41265,36311
12500085A,250CXL FourStroke Warm Fusion White,42030,36988
12500023A,250XXL FourStroke Warm Fusion White,42195,37131
12500089A,250CXXL FourStroke Warm Fusion White,42965,37807
12500004A,250L FourStroke Pearl Fusion White,41125,36190
12500012A,250XL FourStroke Pearl Fusion White,41265,36311
12500086A,250CXL FourStroke Pearl Fusion White,42030,36988
12500024A,250XXL FourStroke Pearl Fusion White,42195,37131
12500090A,250CXXL FourStroke Pearl Fusion White,42965,37807
12500005A,250L FourStroke DTS,41055,36130
12500013A,250XL FourStroke DTS,41200,36256
12500017A,250CXL FourStroke DTS,41995,36955
12500025A,250XXL FourStroke DTS,42155,37098
12500029A,250CXXL FourStroke DTS,42955,37802
12500006A,250L FourStroke DTS Cold Fusion White,43520,38297
12500014A,250XL FourStroke DTS Cold Fusion White,43645,38407
12500018A,250CXL FourStroke DTS Cold Fusion White,44445,39111
12500026A,250XXL FourStroke DTS Cold Fusion White,44600,39248
12500030A,250CXXL FourStroke DTS Cold Fusion White,45405,39958
12500007A,250L FourStroke DTS Warm Fusion White,43520,38297
12500015A,250XL FourStroke DTS Warm Fusion White,43645,38407
12500019A,250CXL FourStroke DTS Warm Fusion White,44445,39111
12500027A,250XXL FourStroke DTS Warm Fusion White,44600,39248
12500031A,250CXXL FourStroke DTS Warm Fusion White,45405,39958
12500008A,250L FourStroke DTS Pearl Fusion White,43520,38297
12500016A,250XL FourStroke DTS Pearl Fusion White,43645,38407
12500020A,250CXL FourStroke DTS Pearl Fusion White,44445,39111
12500028A,250XXL FourStroke DTS Pearl Fusion White,44600,39248
12500032A,250CXXL FourStroke DTS Pearl Fusion White,45405,39958
13000002A,300L FourStroke,40975,36058
13000010A,300XL FourStroke,41100,36168
13000111A,300CXL FourStroke,41865,36839
13000003A,300L FourStroke Cold Fusion White,43315,38115
13000011A,300XL FourStroke Cold Fusion White,43445,38231
13000112A,300CXL FourStroke Cold Fusion White,44215,38907
13000004A,300L FourStroke Warm Fusion White,43315,38115
13000012A,300XL FourStroke Warm Fusion White,43445,38231
13000113A,300CXL FourStroke Warm Fusion White,44215,38907
13000005A,300L FourStroke Pearl Fusion White,43315,38115
13000013A,300XL FourStroke Pearl Fusion White,43445,38231
13000114A,300CXL FourStroke Pearl Fusion White,44215,38907
13000006A,300L FourStroke DTS,43220,38033
13000014A,300XL FourStroke DTS,43365,38159
13000018A,300CXL FourStroke DTS,44150,38852
13000007A,300L FourStroke DTS Cold Fusion White,45650,40172
13000015A,300XL FourStroke DTS Cold Fusion White,45775,40282
13000019A,300CXL FourStroke DTS Cold Fusion White,46570,40981
13000008A,300L FourStroke DTS Warm Fusion White,45650,40172
13000016A,300XL FourStroke DTS Warm Fusion White,45775,40282
13000020A,300CXL FourStroke DTS Warm Fusion White,46570,40981
13000009A,300L FourStroke DTS Pearl Fusion White,45650,40172
13000017A,300XL FourStroke DTS Pearl Fusion White,45775,40282
13000021A,300CXL FourStroke DTS Pearl Fusion White,46570,40981
1117F131D,115ELPT Pro XS,19680,17320
1117F231D,115EXLPT Pro XS,20075,17666
1117F531D,115ELPT Pro XS Command Thrust,20190,17765
1117F631D,115EXLPT Pro XS Command Thrust,20590,18117
1152F131D,150L Pro XS,27395,24107
1152F231D,150XL Pro XS,27540,24233
11750001A,175L Pro XS,31380,27616
11750002A,175XL Pro XS,31825,28006
12000027A,200L Pro XS TorqueMaster,31955,28122
12000039A,200L Pro XS,31955,28122
12000041A,200XL Pro XS,32365,28479
12000035A,200L Pro XS DTS TorqueMaster,34080,29992
12000040A,200XL Pro XS DTS,34545,30399
12250033A,225L Pro XS TorqueMaster,37545,33039
12250034A,225XL Pro XS,37990,33429
12250053A,225L Pro XS DTS TorqueMaster,39330,34612
12250055A,225XL Pro XS DTS,40050,35244
12500033A,250L Pro XS TorqueMaster,39205,34502
12500034A,250XL Pro XS,40105,35294
12500094A,250L Pro XS DTS TorqueMaster,41525,36542
12500096A,250XL Pro XS DTS,42465,37367
13000022A,300L Pro XS TorqueMaster,41115,36179
13000023A,300XL Pro XS,42030,36988
13000177A,300L Pro XS DTS TorqueMaster,43375,38170
13000179A,300XL Pro XS DTS,44330,39012
13000181A,300CXL Pro XS DTS,45130,39716
